Reference Code,Date,Time,Description,Dr.,Cr.,Status,Balance (NPR),Channel,Category
M5QYZ8L,2025-09-01,00:00:00,Bought cosmetics from MeroBeauty,1416.56,0.0,COMPLETE,890.53,Linked Esewa Payment,Personal Care
H4OT7WB,2025-10-13,00:00:00,Salon Payment - SastoDeal,2214.54,0.0,COMPLETE,7970.59,THIRDPARTY,Personal Care
TTR5SAD,2025-09-19,00:00:00,Paid for Parlor Service,1801.36,0.0,COMPLETE,1807.23,App,Personal Care
9BTMHYL,2025-09-07,00:00:00,Paid for Parlor Service,3102.16,0.0,COMPLETE,849.34,THIRDPARTY,Personal Care
RYO2VIE,2025-10-02,00:00:00,Bought cosmetics from MeroBeauty,615.81,0.0,COMPLETE,5251.75,App,Personal Care
DXJPPIM,2025-10-20,00:00:00,Bought cosmetics from MeroBeauty,427.56,0.0,COMPLETE,2840.92,App,Personal Care
UVG9ODR,2025-09-03,00:00:00,Salon Payment - SastoDeal,3226.49,0.0,COMPLETE,9881.38,THIRDPARTY,Personal Care
CZ05JQG,2025-09-13,00:00:00,Bought cosmetics from MeroBeauty,4346.15,0.0,COMPLETE,130.1,App,Personal Care
BRU6C9A,2025-10-05,00:00:00,Paid for Parlor Service,1663.54,0.0,COMPLETE,9320.76,Linked Esewa Payment,Personal Care
UGVPIYS,2025-10-20,00:00:00,Bought cosmetics from MeroBeauty,856.48,0.0,COMPLETE,1033.98,THIRDPARTY,Personal Care
14EGSDD,2025-09-29,00:00:00,Bought cosmetics from MeroBeauty,3977.89,0.0,COMPLETE,7767.69,App,Personal Care
A1U6GDH,2025-09-08,00:00:00,Bought cosmetics from MeroBeauty,1776.36,0.0,COMPLETE,4589.87,THIRDPARTY,Personal Care
THFIZDD,2025-09-25,00:00:00,Salon Payment - SastoDeal,4618.68,0.0,COMPLETE,1581.81,Linked Esewa Payment,Personal Care
3YF85UO,2025-09-26,00:00:00,Salon Payment - SastoDeal,3726.82,0.0,COMPLETE,4125.91,Linked Esewa Payment,Personal Care
RQO9M6Q,2025-09-28,00:00:00,Bought cosmetics from MeroBeauty,1343.34,0.0,COMPLETE,3338.17,Linked Esewa Payment,Personal Care
98LWZ3P,2025-10-06,00:00:00,Paid for Parlor Service,3354.17,0.0,COMPLETE,2972.51,App,Personal Care
THCXKXH,2025-10-19,00:00:00,Bought cosmetics from MeroBeauty,1334.09,0.0,COMPLETE,8880.06,App,Personal Care
