Reference Code,Date Time,Description,Dr.,Cr.,Status,Balance (NPR),Channel,Category
0WPVCY9,2025-03-28 14:32:00,Paid for Dipesh Hair Cutting & Saloon,150.0,0.0,COMPLETE,173.21,App,Personal Care
0XRKVN9,2025-04-27 21:59:03,Fund Transferred by Biplov Malla,0.0,200.0,COMPLETE,323.21,App,Income
0XRHORM,2025-01-27 20:51:19,Fund Transferred to Bel Prasad Shrestha,400.0,0.0,COMPLETE,123.21,App,Banking & Finance
0XR8ZO5,2025-02-27 19:10:16,Paid for NANDINI FOOD COURT,370.0,0.0,COMPLETE,523.21,App,Dining & Food
0XQDXTQ,2025-06-27 11:20:44,Paid for Shahi Suppliers,80.0,0.0,COMPLETE,893.21,App,Groceries & Shopping
0XQC53Q,2025-04-27 10:52:01,Paid for Shahi Suppliers,170.0,0.0,COMPLETE,973.21,App,Groceries & Shopping
0XQ8B8O,2025-01-27 09:49:27,Paid for SAGAR SHRESTHA,60.0,0.0,COMPLETE,1143.21,App,Groceries & Shopping
0XPWHJ3,2025-01-26 21:36:03,Paid for Gopi    Krishna    Store,35.0,0.0,COMPLETE,1203.21,App,Groceries & Shopping
0XPVO19,2025-05-26 21:17:09,Fund Transferred by Biplov Malla,0.0,1000.0,COMPLETE,1238.21,App,Income
0XPP0CU,2025-05-26 19:44:14,Fund Transferred by Biplov Malla,0.0,200.0,COMPLETE,238.21,App,Income
0XPMP0F,2025-04-26 19:19:51,Paid for G R G BAKERY PRIVATE LIM,55.0,0.0,COMPLETE,38.21,App,Groceries & Shopping
0XOQOOW,2025-06-26 11:21:04,Paid for Llameli Dairy & Kirana Shop,75.0,0.0,COMPLETE,93.21,App,Groceries & Shopping
0XMXQWA,2025-06-25 10:09:49,Bank transfer charges,10.0,0.0,COMPLETE,168.21,App,Banking & Finance
0XMXQWA,2025-01-25 10:09:49,Money transferred to SANIMA BANK LTD.,100.0,0.0,COMPLETE,178.21,App,Banking & Finance
0XM921W,2025-05-24 18:57:15,Paid for KHUMALTAR,562.5,0.0,COMPLETE,278.21,App,Groceries & Shopping
0XM7VTE,2025-06-24 18:41:21,Paid for SHREE MAHALAXMI VISWOKARMA TRADERS,500.0,0.0,COMPLETE,840.71,App,Groceries & Shopping
0XM6S3V,2025-01-24 18:25:44,Ncell topup to 9808705522,60.0,0.0,COMPLETE,1340.71,App,Subscriptions
0XKZQYA,2025-05-23 20:37:38,Paid for Olivos Pizza,30.0,0.0,COMPLETE,1400.71,App,Dining & Food
0XKVNFX,2025-04-23 19:52:59,Paid for Aahana Lumbini Girls Hostel,65.0,0.0,COMPLETE,1430.71,App,Housing & Utilities
0XKG06J,2025-02-23 16:35:16,Paid for G R G BAKERY PRIVATE LIM,255.0,0.0,COMPLETE,1495.71,App,Groceries & Shopping
0XKDOUJ,2025-05-23 16:01:09,Ncell topup to 9808705522,60.0,0.0,COMPLETE,1750.71,App,Subscriptions
0XJR9V0,2025-05-23 10:06:48,Paid for Gopi    Krishna    Store,200.0,0.0,COMPLETE,1810.71,App,Groceries & Shopping
0XJPT65,2025-04-23 09:40:39,Fund Transferred to Abhishek Uprety,60.0,0.0,COMPLETE,2010.71,App,Banking & Finance
0XJ9OQN,2025-05-22 20:13:00,Money transferred from SIDDHARTHA BANK LTD.,0.0,2000.0,COMPLETE,2070.71,THIRDPARTY,Income
0XISR4R,2025-04-22 16:42:05,Paid for Llameli Dairy & Kirana Shop,80.0,0.0,COMPLETE,70.71,App,Groceries & Shopping
0XIS16Z,2025-04-22 16:31:42,Fund Transferred by Biplov Malla,0.0,150.0,COMPLETE,150.71,App,Income
0XH3L4G,2025-05-21 16:16:08,Paid for Shiva Shakti Oil Store,150.0,0.0,COMPLETE,0.71,App,Groceries & Shopping
0XGUMMT,2025-05-21 13:56:47,Paid for Shahi Suppliers,100.0,0.0,COMPLETE,150.71,App,Groceries & Shopping
0XGR6G5,2025-05-21 12:53:45,Fund Transferred to Aayush Poudel,100.0,0.0,COMPLETE,250.71,App,Banking & Finance
0XGMQHB,2025-05-21 11:39:13,Fund Transferred to Binaya Shrestha,100.0,0.0,COMPLETE,350.71,App,Banking & Finance
0XDHXI6,2025-04-19 11:50:31,Paid for Shahi Suppliers,150.0,0.0,COMPLETE,450.71,App,Groceries & Shopping
0XDB3YV,2025-02-19 10:04:45,Paid for SAGAR SHRESTHA,60.0,0.0,COMPLETE,600.71,App,Groceries & Shopping
0XD9S9F,2025-02-19 09:41:31,Ncell topup to 9707251078,50.0,0.0,COMPLETE,660.71,App,Subscriptions
0XD9MOR,2025-02-19 09:38:39,Ncell topup to 9707251078,50.0,0.0,COMPLETE,710.71,App,Subscriptions
0X9K1EI,2025-06-16 20:17:49,Fund Transferred to Ashraya Jung Sijapati,500.0,0.0,COMPLETE,760.71,App,Banking & Finance
